Filename,Date,Subject,ChatGPT Prompt (copy this into Coloring Book Hero)
january_01.png,January 1,a new year banner,"Simple black and white coloring book page for a 4-year-old of a new year banner. Clean outlines, no shading, lots of white space."
january_02.png,January 2,a snowflake,"Simple black and white coloring book page for a 4-year-old of a snowflake. Clean outlines, no shading, lots of white space."
january_03.png,January 3,a penguin,"Simple black and white coloring book page for a 4-year-old of a penguin. Clean outlines, no shading, lots of white space."
january_04.png,January 4,mittens,"Simple black and white coloring book page for a 4-year-old of mittens. Clean outlines, no shading, lots of white space."
january_05.png,January 5,a scarf,"Simple black and white coloring book page for a 4-year-old of a scarf. Clean outlines, no shading, lots of white space."
january_06.png,January 6,a winter hat,"Simple black and white coloring book page for a 4-year-old of a winter hat. Clean outlines, no shading, lots of white space."
january_07.png,January 7,a sled,"Simple black and white coloring book page for a 4-year-old of a sled. Clean outlines, no shading, lots of white space."
january_08.png,January 8,a snowball fight,"Simple black and white coloring book page for a 4-year-old of a snowball fight. Clean outlines, no shading, lots of white space."
january_09.png,January 9,an igloo,"Simple black and white coloring book page for a 4-year-old of an igloo. Clean outlines, no shading, lots of white space."
january_10.png,January 10,a polar bear,"Simple black and white coloring book page for a 4-year-old of a polar bear. Clean outlines, no shading, lots of white space."
january_11.png,January 11,a winter bird,"Simple black and white coloring book page for a 4-year-old of a winter bird. Clean outlines, no shading, lots of white space."
january_12.png,January 12,a frosty window,"Simple black and white coloring book page for a 4-year-old of a frosty window. Clean outlines, no shading, lots of white space."
january_13.png,January 13,a mug of hot cocoa,"Simple black and white coloring book page for a 4-year-old of a mug of hot cocoa. Clean outlines, no shading, lots of white space."
january_14.png,January 14,an ice skater,"Simple black and white coloring book page for a 4-year-old of an ice skater. Clean outlines, no shading, lots of white space."
january_15.png,January 15,a snowy owl,"Simple black and white coloring book page for a 4-year-old of a snowy owl. Clean outlines, no shading, lots of white space."
january_16.png,January 16,snow clouds,"Simple black and white coloring book page for a 4-year-old of snow clouds. Clean outlines, no shading, lots of white space."
january_17.png,January 17,a deer in the snow,"Simple black and white coloring book page for a 4-year-old of a deer in the snow. Clean outlines, no shading, lots of white space."
january_18.png,January 18,a pine tree,"Simple black and white coloring book page for a 4-year-old of a pine tree. Clean outlines, no shading, lots of white space."
january_19.png,January 19,a wolf howling,"Simple black and white coloring book page for a 4-year-old of a wolf howling. Clean outlines, no shading, lots of white space."
january_20.png,January 20,stars in the winter sky,"Simple black and white coloring book page for a 4-year-old of stars in the winter sky. Clean outlines, no shading, lots of white space."
january_21.png,January 21,a snow rabbit,"Simple black and white coloring book page for a 4-year-old of a snow rabbit. Clean outlines, no shading, lots of white space."
january_22.png,January 22,snow boots,"Simple black and white coloring book page for a 4-year-old of snow boots. Clean outlines, no shading, lots of white space."
january_23.png,January 23,an arctic fox,"Simple black and white coloring book page for a 4-year-old of an arctic fox. Clean outlines, no shading, lots of white space."
january_24.png,January 24,a winter moon,"Simple black and white coloring book page for a 4-year-old of a winter moon. Clean outlines, no shading, lots of white space."
january_25.png,January 25,ice crystals,"Simple black and white coloring book page for a 4-year-old of ice crystals. Clean outlines, no shading, lots of white space."
january_26.png,January 26,a sleeping bear,"Simple black and white coloring book page for a 4-year-old of a sleeping bear. Clean outlines, no shading, lots of white space."
january_27.png,January 27,snowflakes,"Simple black and white coloring book page for a 4-year-old of snowflakes. Clean outlines, no shading, lots of white space."
january_28.png,January 28,a cozy cabin,"Simple black and white coloring book page for a 4-year-old of a cozy cabin. Clean outlines, no shading, lots of white space."
january_29.png,January 29,a robin,"Simple black and white coloring book page for a 4-year-old of a robin. Clean outlines, no shading, lots of white space."
january_30.png,January 30,seeds in the ground,"Simple black and white coloring book page for a 4-year-old of seeds in the ground. Clean outlines, no shading, lots of white space."
january_31.png,January 31,a sunrise,"Simple black and white coloring book page for a 4-year-old of a sunrise. Clean outlines, no shading, lots of white space."
february_01.png,February 1,a big red heart,"Simple black and white coloring book page for a 4-year-old of a big red heart. Clean outlines, no shading, lots of white space."
february_02.png,February 2,hearts,"Simple black and white coloring book page for a 4-year-old of hearts. Clean outlines, no shading, lots of white space."
february_03.png,February 3,roses,"Simple black and white coloring book page for a 4-year-old of roses. Clean outlines, no shading, lots of white space."
february_04.png,February 4,a Valentine card,"Simple black and white coloring book page for a 4-year-old of a Valentine card. Clean outlines, no shading, lots of white space."
february_05.png,February 5,a heart wreath,"Simple black and white coloring book page for a 4-year-old of a heart wreath. Clean outlines, no shading, lots of white space."
february_06.png,February 6,a teddy bear,"Simple black and white coloring book page for a 4-year-old of a teddy bear. Clean outlines, no shading, lots of white space."
february_07.png,February 7,a mailbox,"Simple black and white coloring book page for a 4-year-old of a mailbox. Clean outlines, no shading, lots of white space."
february_08.png,February 8,pink flowers,"Simple black and white coloring book page for a 4-year-old of pink flowers. Clean outlines, no shading, lots of white space."
february_09.png,February 9,friendship bracelets,"Simple black and white coloring book page for a 4-year-old of friendship bracelets. Clean outlines, no shading, lots of white space."
february_10.png,February 10,heart balloons,"Simple black and white coloring book page for a 4-year-old of heart balloons. Clean outlines, no shading, lots of white space."
february_11.png,February 11,a cupcake,"Simple black and white coloring book page for a 4-year-old of a cupcake. Clean outlines, no shading, lots of white space."
february_12.png,February 12,birds sharing a heart,"Simple black and white coloring book page for a 4-year-old of birds sharing a heart. Clean outlines, no shading, lots of white space."
february_13.png,February 13,a Valentine tree,"Simple black and white coloring book page for a 4-year-old of a Valentine tree. Clean outlines, no shading, lots of white space."
february_14.png,February 14,a big Valentine heart,"Simple black and white coloring book page for a 4-year-old of a big Valentine heart. Clean outlines, no shading, lots of white space."
february_15.png,February 15,a rainbow with hearts,"Simple black and white coloring book page for a 4-year-old of a rainbow with hearts. Clean outlines, no shading, lots of white space."
february_16.png,February 16,a crown,"Simple black and white coloring book page for a 4-year-old of a crown. Clean outlines, no shading, lots of white space."
february_17.png,February 17,a love letter,"Simple black and white coloring book page for a 4-year-old of a love letter. Clean outlines, no shading, lots of white space."
february_18.png,February 18,a heart garden,"Simple black and white coloring book page for a 4-year-old of a heart garden. Clean outlines, no shading, lots of white space."
february_19.png,February 19,a kindness tree,"Simple black and white coloring book page for a 4-year-old of a kindness tree. Clean outlines, no shading, lots of white space."
