date,source,file_path,trace_word,subject,color_word,instruction,image_prompt
2026-07-01,universal,july_01.png,flag,an American flag,red,"Color the flag red, white, and blue!","An American flag waving on a flagpole, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-02,universal,july_02.png,star,stars,blue,"Color the stars red, white, and blue!","A cluster of five-pointed stars of different sizes, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-03,universal,july_03.png,fireworks,fireworks,red,Color the fireworks bright colors!,"Bright fireworks bursting in the night sky, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-04,universal,july_04.png,freedom,a 4th of July scene,blue,"Color the 4th of July scene red, white, and blue!","A 4th of July scene with an American flag, fireworks, and kids holding sparklers, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-05,universal,july_05.png,eagle,a bald eagle,brown,Color the eagle brown with a white head!,"A majestic bald eagle perched on a branch with wings slightly spread, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-06,universal,july_06.png,parade,a parade,red,Color the parade floats bright colors!,"A cheerful parade with floats, balloons, and kids waving flags, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-07,universal,july_07.png,watermelon,a watermelon,red,Color the watermelon red and green!,"A juicy watermelon cut in half showing seeds inside next to a whole watermelon, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-08,universal,july_08.png,beach,a summer beach,blue,Color the beach yellow and the sea blue!,"A sunny beach scene with sand, a beach umbrella, sea waves, and a sandcastle, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-09,universal,july_09.png,sun,the hot July sun,yellow,Color the sun bright yellow!,"A smiling sun with rays of different lengths against a sky with a couple of clouds, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-10,universal,july_10.png,wave,big ocean waves,blue,Color the waves blue!,"A series of big curling ocean waves with foam at the top, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-11,universal,july_11.png,fish,tropical fish,orange,Color the fish bright colors!,"Three tropical fish with stripes and fins swimming through underwater plants, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-12,universal,july_12.png,turtle,a sea turtle,green,Color the sea turtle green!,"A friendly sea turtle swimming with patterns on its shell, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-13,universal,july_13.png,dolphin,a jumping dolphin,grey,Color the dolphin grey and the water blue!,"A dolphin jumping above ocean waves with a smile, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-14,universal,july_14.png,shell,seashells,pink,"Color the shells pink, white, and tan!","A collection of different seashells on the sand, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-15,universal,july_15.png,crab,a crab on the beach,orange,Color the crab orange-red!,"A friendly crab walking on the sand with little waves nearby, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-16,universal,july_16.png,turtle,a turtle eating ice cream,green,Color the turtle and the ice cream!,ALREADY DONE — skip
2026-07-17,universal,july_17.png,pineapple,a pineapple,yellow,Color the pineapple yellow and the top green!,"A pineapple with a leafy crown on top, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-18,universal,july_18.png,lei,a flower lei,pink,"Color the lei pink, yellow, and purple!","A Hawaiian flower lei with plumeria flowers, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-19,universal,july_19.png,sunset,a summer sunset,orange,"Color the sunset orange, pink, and purple!","A summer sunset over the ocean with a sun touching the horizon and clouds streaking the sky, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-20,universal,july_20.png,sandcastle,a sandcastle,yellow,Color the sandcastle golden and the sea blue!,"A detailed sandcastle on the beach with towers and a flag, with the sea behind, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-21,universal,july_21.png,butterfly,a butterfly,purple,Color the butterfly any colors you like!,"A butterfly with intricate wing patterns resting on a flower, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-22,universal,july_22.png,garden,a summer garden,green,Color the garden bright colors!,"A summer garden with flowers, vegetables, and a friendly snail, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-23,universal,july_23.png,sunflower,sunflowers,yellow,Color the sunflowers yellow!,"Three tall sunflowers with detailed centers and big petals, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-24,universal,july_24.png,corn,corn on the cob,yellow,Color the corn yellow!,"An ear of corn on the cob with the husk peeled back, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-25,universal,july_25.png,berry,berries,red,Color the berries red and purple!,"A bowl of berries — strawberries, blueberries, and raspberries — overflowing, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-26,universal,july_26.png,lemonade,a lemonade stand,yellow,Color the lemonade yellow and the stand bright!,"A cute lemonade stand with a kid serving cups of lemonade and a sign that says LEMONADE, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-27,universal,july_27.png,kite,kites in a blue sky,red,Color the kites bright colors!,"Two diamond-shaped kites flying high in the sky with long ribbon tails, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-28,universal,july_28.png,cloud,summer clouds,blue,Color the clouds white and the sky bright blue!,"Big fluffy summer clouds in the sky with a small smiling sun peeking out, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-29,universal,july_29.png,lily,water lilies,pink,Color the lilies pink and the pads green!,"Water lilies floating on a pond with their flat round pads, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-30,universal,july_30.png,firefly,fireflies at night,yellow,Color the fireflies yellow and the sky dark blue!,"Several fireflies glowing in a dark summer night sky with grass below, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-31,universal,july_31.png,summer,a summer fun scene,orange,Color the summer scene any colors you like!,"A summer fun scene with kids playing outside — bicycle, ball, picnic blanket, sun, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-07,india,india/july_07.png,bangles,a stack of colorful Indian bangles,pink,Color the bangles in every bright color!,"A neat stack of Indian bangles in different patterns and widths on a child's wrist, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-22,india,india/july_22.png,kheer,a bowl of kheer with nuts and saffron,yellow,Color the kheer and the warm spices!,"A small bowl of Indian kheer rice pudding garnished with chopped nuts and a few saffron threads on top, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-08,hindu,hindu/july_08.png,shankh,a sacred conch shell,white,Color the conch shell!,"A large sacred conch shell (shankh) resting on a small cloth with flower petals around it, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-12,hindu,hindu/july_12.png,mala,a strand of prayer beads (mala),brown,Color the prayer beads!,"A circular strand of mala prayer beads with 108 beads, draped over a small cushion, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-21,hindu,hindu/july_21.png,teacher,a guru teaching a student,orange,Color the wise teacher and student!,"An Indian guru sitting cross-legged teaching a young student under a tree, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-25,hindu,hindu/july_25.png,Nandi,Nandi the sacred bull of Shiva,white,Color Nandi the gentle bull!,"Nandi the sacred bull of Lord Shiva sitting peacefully at a temple entrance with bells around his neck, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-29,hindu,hindu/july_29.png,banyan,a big sacred banyan tree,green,Color the wide banyan tree!,"A large banyan tree with many hanging aerial roots and a wide canopy, simple thick black outlines, line-art coloring page for kids, no shading, white background"
2026-07-31,christian-catholic,christian-catholic/july_31.png,Ignatius,Saint Ignatius of Loyola,blue,Color Saint Ignatius!,"Saint Ignatius of Loyola in priestly robes holding a book with rays of light behind him, simple thick black outlines, line-art coloring page for kids, no shading, white background"
