Filename Path,Date,Month #,Day,Subject,Holiday name,Holiday blurb,Tradition / Region,ChatGPT Prompt
christian-catholic/january_01.png,January 1,1,1,Mary the Mother of God,Solemnity of Mary,"Today is the Solemnity of Mary, Mother of God — the very first feast day of the year! We honor Mary who said yes to God.",Catholic,"Simple black and white coloring book page for a 4-year-old of Mary the Mother of God. Clean outlines, no shading, lots of white space."
christian-catholic/january_06.png,January 6,1,6,the three wise men with gifts,Epiphany,Today is Epiphany! We remember the three wise men who followed the star to find Jesus.,Catholic,"Simple black and white coloring book page for a 4-year-old of the three wise men with gifts. Clean outlines, no shading, lots of white space."
christian-catholic/february_02.png,February 2,2,2,candles for Candlemas,Candlemas,Today is Candlemas — the Presentation of Jesus in the Temple. We bless candles and remember that Jesus is the Light of the World.,Catholic,"Simple black and white coloring book page for a 4-year-old of candles for Candlemas. Clean outlines, no shading, lots of white space."
christian-catholic/february_14.png,February 14,2,14,Saint Valentine with hearts,St. Valentine,"Today is the feast of St. Valentine, a priest who showed great love and courage. He reminds us that love is the greatest gift from God.",Catholic,"Simple black and white coloring book page for a 4-year-old of Saint Valentine with hearts. Clean outlines, no shading, lots of white space."
christian-catholic/march_17.png,March 17,3,17,Saint Patrick with a shamrock,St. Patrick,"Today is the feast of St. Patrick, who brought the light of faith to Ireland and taught about the Holy Trinity.",Catholic,"Simple black and white coloring book page for a 4-year-old of Saint Patrick with a shamrock. Clean outlines, no shading, lots of white space."
christian-catholic/march_19.png,March 19,3,19,Saint Joseph the carpenter,St. Joseph,"Today is the feast of St. Joseph, the foster father of Jesus — a quiet, faithful man who protected his family.",Catholic,"Simple black and white coloring book page for a 4-year-old of Saint Joseph the carpenter. Clean outlines, no shading, lots of white space."
christian-catholic/march_25.png,March 25,3,25,the angel Gabriel and Mary,The Annunciation,"Today we celebrate the Annunciation — the day the angel Gabriel told Mary she would be the mother of Jesus, and she said yes!",Catholic,"Simple black and white coloring book page for a 4-year-old of the angel Gabriel and Mary. Clean outlines, no shading, lots of white space."
christian-catholic/april_03.png,April 3,4,3,palm branches for Palm Sunday,Good Friday,Today is Good Friday. We remember how much Jesus loved us.,Catholic,"Simple black and white coloring book page for a 4-year-old of palm branches for Palm Sunday. Clean outlines, no shading, lots of white space."
christian-catholic/april_05.png,April 5,4,5,the empty tomb with a lily,Easter Sunday,He is risen! Today is Easter — the most joyful day of the year. Jesus is alive!,Catholic,"Simple black and white coloring book page for a 4-year-old of the empty tomb with a lily. Clean outlines, no shading, lots of white space."
christian-catholic/april_25.png,April 25,4,25,Saint Mark with a lion,St. Mark the Evangelist,"Today is the feast of St. Mark, who wrote the Gospel that tells the story of Jesus. His symbol is a lion.",Catholic,"Simple black and white coloring book page for a 4-year-old of Saint Mark with a lion. Clean outlines, no shading, lots of white space."
